County,Raw Address,Notes,Name,source
Dekalb,"4800 Ashford Dunwoody Rd., Dunwoody, GA 30038",,Dunwoody City Hall,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"3752 Park Ave., Doraville, GA 30340",,City of Doraville,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"1975 Lakeside Parkway Suite 350 Tucker, GA 30084",,City of Tucker,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"1282 McConnell Drive, Decatur, GA 30033",,Toco Hill-Avis G. Williams,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"5234 LaVista Rd., Tucker, GA 30084",,Tucker-Reid H. Cofer Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"951 N. Indian Creek Drive, Clarkston, GA 30021",,Clarkston Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"2861 Wesley Chapel Rd., Decatur, GA 30034",,Wesley Chapel-William C. Brown Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"509 N. McDonough St., Decatur, GA 30030",,Decatur City Hall,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"2538 Panola Rd., Stonecrest, GA 30058",,Lou Walker Senior Center ,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dekalb,"5605 ROCKBRIDGE ROAD, STONE MOUNTAIN, GA 30087",,WADE WALKER FAMILY YMCA,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dekalb,"7136 ROCKBRIDGE ROAD, STONE MOUNTAIN, GA, 30087",,DEKALB COUNTY FIRE STATION # 25,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dekalb,"3921 CHURCH STREET, CLARKSTON, GA 30021",,CLARKSTON CITY HILL,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dekalb,"5137 SALEM ROAD, LITHONIA, GA 30038",,SALEM – PANOLA LIBRARY,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dekalb,"2418 GRESHAM ROAD, ATLANTA, GA 30316",,DEKALB COUNTY LIBRARY – GRESHAM BRANCH,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dekalb,"1569 WELLBORN ROAD, LITHONIA, GA 30058",,REDAN-TROTTI LIBRARY,https://www.dekalbcountyga.gov/sites/default/files/users/user304/DeKalb%20Dropbox%20Locations_0.pdf
Dodge,"    5016 Courthouse Cir, Eastman, GA 31023",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dooly,"    402 Hawkinsville Hwy, Vienna GA  31092",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Dougherty,"    Government Center 222 Pine Avenue Albany, GA 31701",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Douglas,"8700 Hospital Drive, Douglasville GA 30134","Outside the courthouse, in front and to the right, by the bike rack",Courthouse (Outside),https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"8700 Hospital Drive, Douglasville GA 30134","1st floor, outside of Registration office",Courthouse (Inside),https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"6200 Fairburn Road
Douglasville, GA 30134",,DOUGLAS COUNTY GOVT ANNEX,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"6754 W. Church Street
Douglasville, GA  30134",,OLD COURTHOUSE,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"6810 Selman Drive
Douglasville, GA 30134",,DOUGLAS COUNTY PUBLIC LIBRARY,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"7100 Turner Drive
Lithia Springs, GA  30122",,LITHIA SPRINGS PUBLIC LIBRARY,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"6100 Georgia Highway 5
Douglasville, GA 30135",,DOG RIVER LIBRARY,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"2105 MACK ROAD
DOUGLASVILLE, GA 30135",,DEER LICK PARK,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"5000 Highway 92/166
Douglasville, GA 30135",,BOUNDARY WATER AQUATIC CENTER,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
Douglas,"8830 GURLEY ROAD
DOUGLASVILLE, GA 30134",,HUNTER PARK,https://www.celebratedouglascounty.com/562/Drop-Box-Locations
